start	end	text
549140	550620	Я завжди говорю всім.
551400	553940	Чим більше ви пишете, тим краще ви говорите.
554120	555840	Тому тримайте пром для письма.
557760	562560	Допоможи мені написати три прості речення про себе англійською для рівня А1.
562860	565500	Зараз я покажу вам, що він мені відповів, тому дивіться.
565760	566080	Додаю.
566080	571240	Перший, він написав мені шаблони, які я можу використати.
571620	575780	І далі він дає, типу, твій хід, тобто, щоб ви йому написали ці три речення.
576440	579260	У цьому випадку, коли ви будете писати йому свої речення,
579380	581700	він буде вас виправляти, якщо щось буде не так,
581760	585060	або ж, навпаки, вас хвалити, якщо ви все написали коректно.
585060	587080	І зараз дуже важливий нюанс.
587500	591660	Після кожного заняття ви маєте зафіксувати свій прогрес.
591840	596160	Ви маєте допомогти цій машині зафіксувати все те, що йому сталося.
596760	598720	Що ви йому пропишете. Також промт.
600420	605360	Зроби коротке резюме уроку, що ми пройшли, які помилки повторюються,
605520	607240	щоб повторити наступного разу.
607940	608980	Не більше ста слів.
609420	613060	Дивіться, ви це все можете вставити і на кінці цього уроку,
613060	617360	і на початку наступного, для того, щоб ви, справді, не забували,
617480	619700	що ви вже прийшли і могли звертати увагу на те,
619760	621740	на чим вам краще треба попрацювати.
622060	624560	А зараз буде дуже логічне запитання, певно, від вас.
624680	627680	Окей, я ось сьогодні потренувалася, а що мені робити далі?
627740	629320	Як самостійно це все робити?
630340	633560	А я вам скажу, вам не потрібно вигадувати велосипед,
633620	635080	бо я вже за вас його вигадала.
636080	638180	Вам потрібно просто скопіювати цей промт
638180	641360	і далі рухатися по нашій вже створеній сці роудмеп.
641360	642680	Дивіться, який промт.
643060	646700	Проведи щоденний урок англійської для рівня А1.
647180	648780	Один урок – один день.
649180	650420	Працюй поетапно.
651020	652660	Почни з короткого повторення того,
652860	653940	щоб ми вже проходили.
654200	655140	Дві-три хвилини.
655760	659000	У повторенні використовуй ті самі слова і конструкції,
659160	659820	що і раніше.
660220	662940	Після кожного кроку зупиняйся і чекай мого далі.
662940	664780	Структура уроку.
664780	666180	Коротке повторення.
666500	668280	Коротке пояснення нової теми.
668280	670160	Вісім-десять простих фраз.
670720	672020	Прочитай їх в голос.
672460	673880	Короткий зв'язний текст.
674340	676560	Просте пояснення сенсу конструкцій.
677020	677940	Короткий діалог.
678380	679480	Три речення письма.
680020	682180	Говори просто і не перевантажуй.
682380	683180	І на цьому все.
683320	686200	ЧАДЖПТ буде вести вас далі як реальний викладач.
686620	687880	Це просто магія, вважаю.
687880	691900	І стосовно оцих от промтів.
692500	695100	Вони написані під загальну систему навчання.
695220	697860	Якщо вам потрібна якась конкретна тема
697860	701500	або конкретно розглянути якусь граматичну структуру і так далі,
701580	703420	ви це, звісно, що можете коригувати.
704620	705540	Тому адаптовуйте.
706020	707860	ЧАДЖПТ – це не репетитор.
708740	711700	Але з кльово випудованою системою
711700	713780	ви зможете створити з нього
713780	716540	реально працюючий тренажер.
717880	720820	Тому тут головне – створити ось цю саме систему,
721600	722860	щоб це було не хаотично,
723640	725840	а отак розібрано, як ми сьогодні розібрали.
725940	728580	Бо саме так наш мозок засвоює всі матеріали.
729140	732380	Тож, якщо вам було корисно, цікаво, сподобалося,
732660	734200	дуже буду вдячна за підтримку.
734320	738020	Ставте лайк, коментар, підписуйтеся.
738900	739980	Ну, от я це вже говорила.
740740	742740	І хочу нагадати, що під цим відео
742740	744100	у закріпленому коментарі
744100	747660	ви побачите посилання на мій телеграм-канал
747660	751340	де будуть зібрані всі промти для кожного рівня.
751600	752280	Па-па!
